Year,Country,Air Pollutant,Population,Populated Area [km2],Air Pollution Average [ug/m3],Premature Deaths,Years Of Life Lost
2018,Austria,NO2,8822183,43050,9.5,1228,12796
2018,Austria,O3,8822183,43050,7867.9,619,6756
2018,Austria,PM10,8822183,43050,15.4,,
2018,Austria,PM2.5,8822183,43050,11.2,5001,52145
2019,Austria,NO2,8858695,43050,8.7,1038,10735
2019,Austria,O3,8858695,43050,6892.5,532,5742
2019,Austria,PM10,8858695,43050,12.8,,
2019,Austria,PM2.5,8858695,43050,9.1,3685,38017
2018,Belgium,NO2,11398472,25153,14.1,2085,22293
2018,Belgium,O3,11398472,25153,4803.8,508,5810
2018,Belgium,PM10,11398472,25153,18.5,,
2018,Belgium,PM2.5,11398472,25153,11.5,5914,62914
2019,Belgium,NO2,11455418,25153,12.5,1696,18208
2019,Belgium,O3,11455418,25153,3719.9,395,4456
2019,Belgium,PM10,11455418,25153,16.4,,
2019,Belgium,PM2.5,11455418,25153,9.9,4533,48580
2018,Bulgaria,NO2,7049950,23519,9.3,1883,20285
2018,Bulgaria,O3,7049950,23519,6089.9,467,5239
2018,Bulgaria,PM10,7049950,23519,20.8,,
2018,Bulgaria,PM2.5,7049950,23519,14.7,12027,129430
2019,Bulgaria,NO2,6999961,23519,8.3,1819,19606
2019,Bulgaria,O3,6999961,23519,5954.5,424,4858
2019,Bulgaria,PM10,6999961,23519,18.1,,
2019,Bulgaria,PM2.5,6999961,23519,11.8,9906,106663
2018,Cyprus,NO2,1197024,6504,7.8,201,2215
2018,Cyprus,O3,1197024,6504,9265.6,59,687
2018,Cyprus,PM10,1197024,6504,26.4,,
2018,Cyprus,PM2.5,1197024,6504,12.6,526,5769
2019,Cyprus,NO2,1213178,6504,7.7,179,1889
2019,Cyprus,O3,1213178,6504,8656.4,53,608
2018,Austria,NO2,8822183,43050,9.5,1228,12796
2018,Austria,O3,8822183,43050,7867.9,619,6756
2018,Austria,PM10,8822183,43050,15.4,,
2018,Austria,PM2.5,8822183,43050,11.2,5001,52145
2019,Austria,NO2,8858695,43050,8.7,1038,10735
2019,Austria,O3,8858695,43050,6892.5,532,5742
2019,Austria,PM10,8858695,43050,12.8,,
2019,Austria,PM2.5,8858695,43050,9.1,3685,38017
2018,Belgium,NO2,11398472,25153,14.1,2085,22293
2018,Belgium,O3,11398472,25153,4803.8,508,5810
2018,Belgium,PM10,11398472,25153,18.5,,
2018,Belgium,PM2.5,11398472,25153,11.5,5914,62914
2019,Belgium,NO2,11455418,25153,12.5,1696,18208
2019,Belgium,O3,11455418,25153,3719.9,395,4456
2019,Belgium,PM10,11455418,25153,16.4,,
2019,Belgium,PM2.5,11455418,25153,9.9,4533,48580
2018,Bulgaria,NO2,7049950,23519,9.3,1883,20285
2018,Bulgaria,O3,7049950,23519,6089.9,467,5239
2018,Bulgaria,PM10,7049950,23519,20.8,,
2018,Bulgaria,PM2.5,7049950,23519,14.7,12027,129430
2019,Bulgaria,NO2,6999961,23519,8.3,1819,19606
2019,Bulgaria,O3,6999961,23519,5954.5,424,4858
2019,Bulgaria,PM10,6999961,23519,18.1,,
