Year,Country,Air Pollutant,Population,Populated Area [km2],Air Pollution Average [ug/m3],Premature Deaths,Years Of Life Lost
2018,Austria,NO2,8822183,43050,9.5,1228.0,12796.0
2018,Austria,O3,8822183,43050 km,7867.9,619.0,6756.0
2018,Austria,PM10,8822183,43050,15.4,,
2018,Austria,PM2.5,8822183,43050,11.2,5001.0,52145.0
2019,Austria,NO2,8858695,43050,8.7,1038.0,10735.0
2019,Austria,O3,8858695,43050,6892.5,532.0,5742.0
2019,Austria,PM10,8858695,43050,12.8,,
2019,Austria,PM2.5,8858695,43050,9.1,3685.0,38017.0
2018,Belgium,NO2,11398472,25153,14.1,2085.0,22293.0
2018,Belgium,O3,11398472,25153,4803.8,508.0,5810.0
2018,Belgium,PM10,11398472,25153,18.5,,
2018,Belgium,PM2.5,11398472,25153,11.5,5914.0,62914.0
2019,Belgium,NO2,11455418,25153,12.5,1696.0,18208.0
2019,Belgium,O3,11455418,25153,3719.9,395.0,4456.0
2019,Belgium,PM10,11455418,25153,16.4,,
2019,Belgium,PM2.5,11455418,25153,9.9,4533.0,48580.0
2018,Bulgaria,NO2,7049950,23519,9.3,1883.0,20285.0
2018,Bulgaria,O3,7049950,23519,6089.9,467.0,5239.0
2018 year,Bulgaria,PM10,7049950,23519,20.8,,
2018,bulgaria,PM2.5,7049950,23519,14.7,12027.0,129430.0
2019,Bulgaria,NO2,6999961,23519,8.3,1819.0,19606.0
2019,Bulgaria,O3,6999961,23519,5954.5,424.0,4858.0
2019,Bulgaria,PM10,6999961,23519,18.1,,
2019,Bulgaria,PM2.5,6999961,23519,11.8,9906.0,106663.0
2018,Cyprus,NO2,1197024,6504,7.8,201.0,2215.0
2018 year,Cyprus,O3,1197024,6504 km,9265.6,59.0,687.0
2018,Cyprus,PM10,1197024,6504,26.4,,
2018,Cyprus,PM2.5,1197024,6504,12.6,526.0,5769.0
2019,cyprus,NO2,1213178,6504,7.7,179.0,1889.0
2019,cyprus,O3,1213178,6504,8656.4,53.0,608.0
2018,Austria,NO2,8822183,43050,9.5,1228.0,12796.0
2018 year,Austria,O3,8822183,43050,7867.9,619.0,6756.0
2018,Austria,PM10,8822183,43050,15.4,,
2018,Austria,PM2.5,8822183,43050,11.2,5001.0,52145.0
2019,Austria,NO2,8858695,43050,8.7,1038.0,10735.0
2019,Austria,O3,8858695,43050,6892.5,532.0,5742.0
2019,Austria,PM10,8858695,43050,12.8,,
2019,Austria,PM2.5,8858695,43050,9.1,3685.0,38017.0
2018,Belgium,NO2,11398472,25153 km,14.1,2085.0,22293.0
2018 year,Belgium,O3,11398472,25153,4803.8,508.0,5810.0
2018,Belgium,PM10,11398472,25153,18.5,,
2018,Belgium,PM2.5,11398472,25153,11.5,5914.0,62914.0
2019,Belgium,NO2,11455418,25153,12.5,1696.0,18208.0
2019,Belgium,O3,11455418,25153,3719.9,395.0,4456.0
2019,Belgium,PM10,11455418,25153,16.4,,
2019,Belgium,PM2.5,11455418,25153,9.9,4533.0,48580.0
2018,Bulgaria,NO2,7049950,23519,9.3,1883.0,20285.0
2018,Bulgaria,O3,7049950,23519,6089.9,467.0,5239.0
2018,Bulgaria,PM10,7049950,23519,20.8,,
2018,Bulgaria,PM2.5,7049950,23519,14.7,12027.0,129430.0
2019,Bulgaria,NO2,6999961,23519,8.3,1819.0,19606.0
2019,Bulgaria,O3,6999961,23519,5954.5,424.0,4858.0
2019,Bulgaria,PM10,6999961,23519,18.1,,
2019,Bulgaria,PM2.5,6999961,23519,11.8,9906.0,106663.0
2018,Cyprus,NO2,1197024,6504,7.8,201.0,2215.0
2018,Cyprus,O3,1197024,6504,9265.6,59.0,687.0
2018,Cyprus,PM10,1197024,6504,26.4,,
2018,Cyprus,PM2.5,1197024,6504,12.6,526.0,5769.0
2019,Cyprus,NO2,1213178,6504,7.7,179.0,1889.0
2019,Cyprus,O3,1213178,6504,8656.4,53.0,608.0
2019,Cyprus,PM10,1213178,6504,17.7,,
2019,Cyprus,PM2.5,1213178,6504,13.7ug/m,582.0,6161.0
2018 year,Czechia,NO2,10610014,44196,9.4,1187.0,13158.0
2018,Czechia,O3,10610014,44196,7713.3,870.0,9967.0
2018,Czechia,PM10,10610014,44196,20.9,,
2018,Czechia,PM2.5,10610014,44196,15.4,10305.0,114509.0
2019,Czechia,NO2,10649759,44196,8.4,960.0,10751.0
2019,Czechia,O3,10649759,44196,5890.6,675.0,7798.0
2019,Czechia,PM10,10649759,44196,16.0,,
2019,Czechia,PM2.5,10649759,44196,11.5,6941.0,77681.0
2018,germany,NO2,82791305,213783,11.7,16327.0,169758.0
2018,Germany,O3,82791305,213783,6228.2,6014.0,65143.0
2018,Germany,PM10,82791305,213783,16.6,,
