Year,Country,Population,Populated Area [km2],Air Pollution Average [ug/m3] NO2,Air Pollution Average [ug/m3] O3,Air Pollution Average [ug/m3] PM10,Air Pollution Average [ug/m3] PM2.5,Annual AQI NO2,Annual AQI O3,Annual AQI PM10,Annual AQI PM2.5,Premature Deaths NO2,Premature Deaths O3,Premature Deaths PM10,Premature Deaths PM2.5,Years Of Life Lost NO2,Years Of Life Lost O3,Years Of Life Lost PM10,Years Of Life Lost PM2.5
2018,Austria,8822183,43050,9.5,7867.9,15.4,11.2,8.96,0.0,14.26,46.67,1228.0,619.0,8572.55,5001.0,12796.0,6756.0,94127.95,52145.0
2018,Belgium,11398472,25153,14.1,4803.8,18.5,11.5,13.3,0.0,17.13,47.92,2085.0,508.0,8572.55,5914.0,22293.0,5810.0,94127.95,62914.0
2018,Bulgaria,7049950,23519,9.3,6089.9,20.8,14.7,8.77,0.0,19.26,56.47,1883.0,467.0,8572.55,12027.0,20285.0,5239.0,94127.95,129430.0
2018,Croatia,4105440,23884,6.4,6583.1,18.6,13.0,6.04,0.0,17.22,52.89,462.0,369.0,8572.55,4696.0,4778.0,3945.0,94127.95,48568.0
2018,Cyprus,1197024,6504,7.8,9265.6,26.4,12.6,7.36,0.0,24.44,52.05,201.0,59.0,8572.55,526.0,2215.0,687.0,94127.95,5769.0
2018,Czech Republic,10610014,44196,9.4,7713.3,20.9,15.4,8.87,0.0,19.35,57.94,1187.0,870.0,8572.55,10305.0,13158.0,9967.0,94127.95,114509.0
2018,Denmark,5781155,37704,4.3,4074.9,15.0,8.8,4.06,0.0,13.89,36.67,192.0,238.0,8572.55,2206.0,2049.0,2668.0,94127.95,23400.0
2018,Estonia,1319120,20389,2.0,3034.1,10.9,6.2,1.89,0.0,10.09,25.83,12.0,48.0,8572.55,230.0,159.0,578.0,94127.95,2664.0
2018,European Union,441769203,1793090,7.7,5519.4,16.2,10.6,7.26,0.0,15.0,44.17,70251.0,27678.0,8572.55,290716.0,761283.0,313629.0,94127.95,3208729.0
2018,Finland,5513080,99493,2.4,2523.2,7.1,4.1,2.26,0.0,6.57,17.08,134.0,140.0,8572.55,454.0,1424.0,1544.0,94127.95,4866.0
2018,France,64893633,370764,6.1,5833.2,13.3,8.2,5.75,0.0,12.31,34.17,7383.0,3397.0,8572.55,22888.0,85735.0,41682.0,94127.95,265284.0
2018,Germany,82791305,213783,11.7,6228.2,16.6,11.4,11.04,0.0,15.37,47.5,16327.0,6014.0,8572.55,49262.0,169758.0,65143.0,94127.95,510635.0
2018,Greece,10741033,24582,8.0,8113.1,19.5,12.4,7.55,0.0,18.06,51.63,2609.0,961.0,8572.55,11144.0,27388.0,10439.0,94127.95,116707.0
2018,Hungary,9778315,27758,9.6,7530.2,23.9,16.8,9.06,0.0,22.13,60.88,1769.0,870.0,8572.55,12161.0,20205.0,10171.0,94127.95,138808.0
2018,Ireland,4830367,55482,4.4,2900.1,10.5,6.4,4.15,0.0,9.72,26.67,184.0,90.0,8572.55,624.0,2196.0,1123.0,94127.95,7402.0
2018,Italy,60483667,169658,10.6,6957.2,19.6,12.7,10.0,0.0,18.15,52.26,12296.0,4630.0,8572.55,46884.0,124180.0,48136.0,94127.95,473138.0
2018,Latvia,1934362,32912,3.6,3243.3,13.3,8.6,3.4,0.0,12.31,35.83,200.0,89.0,8572.55,1436.0,2309.0,1032.0,94127.95,16362.0
2018,Lithuania,2808874,35587,5.3,3515.7,15.8,10.5,5.0,0.0,14.63,43.75,249.0,137.0,8572.55,2110.0,2812.0,1549.0,94127.95,23593.0
2018,Luxembourg,602001,1658,12.2,5708.7,15.0,9.2,11.51,0.0,13.89,38.33,81.0,22.0,8572.55,150.0,934.0,267.0,94127.95,1747.0
2018,Malta,475697,264,5.5,7054.4,26.4,11.5,5.19,0.0,24.44,47.92,13.0,23.0,8572.55,196.0,152.0,278.0,94127.95,2374.0
2018,Netherlands,17180968,30299,14.1,3814.5,18.6,11.7,13.3,0.0,17.22,48.75,2929.0,605.0,8572.55,7554.0,31231.0,6837.0,94127.95,80451.0
2018,Poland,37976476,196199,8.9,5495.7,24.6,17.7,8.4,0.0,22.78,62.78,4591.0,2343.0,8572.55,46792.0,57361.0,30524.0,94127.95,583534.0
2018,Slovakia,5443100,15868,9.4,7110.0,22.3,16.4,8.87,0.0,20.65,60.04,500.0,363.0,8572.55,4857.0,6175.0,4781.0,94127.95,60053.0
2018,Slovenia,2066847,13251,,,17.8,13.1,,,16.48,53.1,,,8572.55,1495.0,,,94127.95,17067.0
2018,Spain,44522593,60511,7.2,6178.7,14.2,7.5,6.79,0.0,13.15,31.25,7450.0,2668.0,8572.55,15104.0,80869.0,29968.0,94127.95,163880.0
2019,Austria,8858695,43050,8.7,6892.5,12.8,9.1,8.21,0.0,11.85,37.92,1038.0,532.0,8572.55,3685.0,10735.0,5742.0,94127.95,38017.0
2019,Belgium,11455418,25153,12.5,3719.9,16.4,9.9,11.79,0.0,15.19,41.25,1696.0,395.0,8572.55,4533.0,18208.0,4456.0,94127.95,48580.0
